,PEMEL_Max,PEMEL_Min,PEMEL_Mean,Siemens_1bar,Siemens_100bar,Siemens _50bar,Proton,Proton_Advanced,Giner_70bar_58C,Giner_7bar_42C,Giner_7bar_58C,Giner_70 bar_42C,CETH2,Helion_50C,Helion_60C,Helion_70C,Helion_70C_15bar,Giner,Hydrogenics,Proton,ITM_ELECTROHYPEM,AREVA,Siemens,Labor_dÅnne_Membran_80,Labor_dÅnne_Membran_50,AEL_Max,AEL_Min,AEL_Mean,Elwatec_FZ_JÅlich,DLR,FZ_JÅlic_ HPEL,Lurgi,GHW,Metkon_Alyzer_50,Metkon_Alyzer_60,Metkon_Alyzer_Hysolar_80,GHW,Stuart_Energy,FZ_JÅlich_Phoebus_80,FZ_JÅlich_Phoebus_50,Casale_Chemicals,Wasserelektrolyse_Hydrotechnik,RESelyzer,Hydrogenics,GHW
,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5,1000,100,350,350,350,100,NA,26,26,25,NA,NA,NA,100
0,95.44113456,81.98643457,84.36239983,81.98643457,84.21512405,82.0815153,79.5065328,87.0249167,82.23200795,82.99376486,85.15897269,81.69593105,85.32782312,81.84991122,84.06293396,84.45322596,90.01075335,82.91919843,95.44113456,74.84094368,84.73528698,81.86767418,90.60664516,89.45409917,80.75462355,96.85855815,76.66656388,90.40443519,84.6022256,86.12427579,87.41437756,85.29496142,85.52652997,87.60453408,99.48110058,92.05942059,86.18917277,97.88140254,100,99.43738373,99.7200318,76.66656388,84.8234567,96.85855815,87.191403
0.01,95.06399797,78.50214822,82.80148412,78.50214822,81.88351646,79.07569943,79.5721067,86.49791342,81.64541398,82.36448096,84.46307908,80.95445549,84.62025111,81.12898776,83.37081946,83.87207598,88.12580305,82.71424221,95.06399797,74.74326992,83.57363627,81.49196632,80.53549613,86.7966465,75.86962316,95.86170403,76.18692194,87.6023681,84.26357113,85.82747026,87.24915037,85.15562745,85.15084705,81.32311237,87.94967063,88.07450599,85.8299889,94.87348304,96.42376609,92.16616907,91.5331976,76.18692194,84.64466198,95.86170403,86.72640977
0.02,94.68302352,75.62598774,81.55770273,75.62598774,79.44649512,76.13485838,79.08016088,85.93062063,81.0057846,81.75148168,83.70535785,80.10808194,83.9164384,80.38912535,82.64655065,83.27170478,86.28744172,82.50474309,94.68302352,74.63147254,82.49046915,81.11436833,76.06321422,84.98331048,72.41184907,94.8530788,75.68375945,85.41594711,83.90341864,85.52545318,87.07763239,85.01624204,84.76322854,77.72391767,81.43810748,83.95954593,85.44146149,91.88754747,92.41765351,86.06972625,85.60252215,75.68375945,84.46122716,94.8530788,86.24657874
0.03,94.32113032,73.5352813,80.65887547,73.5352813,77.24932288,73.48651583,78.43005896,85.33783709,80.3424975,81.14545183,82.91845817,79.2151365,83.22104173,79.6412363,81.90274239,82.65846771,84.59297466,82.2912843,94.32113032,74.50612704,81.68845636,80.73584233,76.00798277,84.0936837,70.49517676,93.85743176,75.16062244,84.10946206,83.52591471,85.21963332,86.90020572,84.87680758,84.3650569,75.65108213,79.7224888,81.4717875,85.0271282,89.02615818,89.69044959,82.28377628,83.05500885,75.16062244,84.27340833,93.85743176,85.7538947
0.04,94.00123009,71.94130554,79.99331515,71.94130554,75.45057998,71.63768174,77.83817192,84.73436159,79.68493034,80.5370762,82.1350292,78.33394525,82.5387178,78.89623293,81.15200958,82.03872012,83.13970717,82.0744491,94.00123009,74.3678089,81.18062077,80.35735045,77.92413921,83.58339207,69.51902199,92.89951221,74.6210569,83.2275891,83.1352059,84.91141947,86.71725245,84.73732648,83.9577146,74.21798387,78.13420801,80.04788104,84.59052667,86.3918775,88.27139369,80.83462603,82.06922583,74.6210569,84.08146157,92.89951221,85.25034249
0.05,93.74370706,70.55684087,79.4048632,70.55684087,74.02871665,70.21057251,77.25448517,84.13499288,79.06246079,79.9170396,81.3877201,77.52283429,81.87571006,78.16502754,80.4069671,81.41881737,82.02447414,81.85482074,93.74370706,74.21709362,80.79686545,79.97985478,79.61566502,83.11257951,68.87566138,92.00406944,74.06860885,82.50260921,82.73543879,84.6022204,86.52915468,84.59780114,83.5425841,73.09296927,76.63148113,78.9057742,84.13519454,84.08726777,87.52693227,80.50732818,80.95398187,74.06860885,83.88564297,92.00406944,84.7379069
0.06,93.56077661,69.20330892,78.82419025,69.20330892,72.83954721,68.8533578,76.65128955,83.55451317,78.50150509,79.27747068,80.70818706,76.83673669,81.251234,77.45853245,79.68022981,80.80511481,81.27580723,81.63298248,93.56077661,74.05455666,80.40335309,79.60431745,80.52787751,82.65668075,68.08355891,91.19585275,73.50682428,81.84942983,82.33075994,84.29344489,86.33629449,84.45823395,83.12104788,72.17865572,75.5666651,77.92567189,83.66466944,82.21447098,86.83892405,80.11379134,79.79021905,73.50682428,83.68620861,91.19585275,84.21857275
0.07,93.38504021,67.97420457,78.26232106,67.97420457,71.85203985,67.64160632,76.14774583,83.00741926,77.99608525,78.63113509,80.10393579,76.27352428,80.69084484,76.78765997,78.98441262,80.20396779,80.78297106,81.40951756,93.38504021,73.88077354,80.00519466,79.23170057,80.76897295,82.21574242,67.10982392,90.49593211,72.93924921,81.25395944,81.92531592,83.98650171,86.13905399,84.31862733,82.6944884,71.40977195,74.80932799,77.07880019,83.18248902,80.81937821,86.06000616,79.38770068,78.89292822,72.93924921,83.48341457,90.49593211,83.69432485
0.08,93.0510666,66.84005128,77.70802417,66.84005128,71.0275235,66.57662366,75.59888679,82.50796749,77.52025015,78.00620407,79.5575693,75.78368475,80.22014087,76.16332241,78.33213038,79.62173168,80.41826629,81.18500924,93.0510666,73.69631973,79.63312868,78.86296627,80.448997,81.78981117,66.02122958,89.90169693,72.36942965,80.71771831,81.5232533,83.68279964,85.93781526,84.17898366,82.26428814,70.75614851,74.17201075,76.34306973,82.69219093,79.83560688,85.30234415,78.59235934,78.20454941,72.36942965,83.27751692,89.90169693,83.16714802
0.09,92.54433654,65.89762776,77.16525702,65.89762776,70.27093012,65.61958684,75.06365979,82.0696903,77.05108606,77.42880063,79.05081784,75.31865393,79.86306803,75.59643022,77.73599793,79.06476182,80.05710814,80.96004076,92.54433654,73.50177072,79.29679424,78.49907664,79.67799531,81.37893361,64.88454905,89.40115657,71.80091159,80.23823332,81.12871866,83.38374746,85.7329604,84.03930536,81.83182955,70.18976249,73.54689335,75.70120893,82.1973128,79.18344231,84.66187203,77.95861896,77.58442712,71.80091159,83.06877176,89.40115657,82.63902706
